zone,lake,region,n_years,temp_per_decade,temp_q,do_mgL_per_decade,do_mgL_q,do_sat_per_decade,do_sat_q
Metalimnion,Big Muskellunge Lake,Northern,45,0.0204034994026122,0.724715639975286,0.310375426540876,0.118587507145606,3.88747721061092,0.043751121306109
Metalimnion,Crystal Lake,Northern,43,-0.0485019094643734,0.499048117244932,0.17633192803373,0.0215466932678972,1.49723178891257,0.0884463999265691
Metalimnion,Sparkling Lake,Northern,45,0.150091743295395,0.240757695155224,0.0655508875706292,0.869476034147797,0.356186291235933,0.869476034147797
Metalimnion,Allequash Lake,Northern,45,0.000177629899600827,1,0.0538102309788574,0.763720129343846,0.159719945415267,0.992572746720919
Metalimnion,Trout Bog,Northern,45,0.061610020874752,0.41713274059252,-0.176555026063288,0.00349976708711786,-1.43006863536942,0.00349976708711786
Metalimnion,Lake Mendota,Southern,31,0.198818799094069,0.298336386731873,-0.128815128700668,0.042473742084957,-1.31728278887234,0.042473742084957
Metalimnion,Lake Monona,Southern,31,0.38514726729407,0.141703488021005,-0.0935820134958115,0.142845331332428,-1.13935729688521,0.141703488021005
Metalimnion,Fish Lake,Southern,30,0.764705882352942,0.0759305774820629,-0.303965925720606,0.0759305774820629,-2.4440241683513,0.0759305774820629
Hypolimnion,Trout Lake,Northern,45,-0.0627986415908386,0.759353843439782,-0.00128330340523314,0.992194589114746,-0.0635097997832072,0.938170102234185
Hypolimnion,Big Muskellunge Lake,Northern,45,-0.0668012009853371,0.684295275741368,0.052385559354749,0.672946194774742,0.41764369247096,0.684295275741368
Hypolimnion,Crystal Lake,Northern,43,-0.444413751020144,4.99370796875616e-06,-0.576678010827421,1.77452365592974e-05,-5.32758193530268,2.36754191420866e-06
Hypolimnion,Sparkling Lake,Northern,45,-0.0323458946374957,0.904797305682352,0.00744186574363799,0.92167469338371,-0.0694216026551667,0.922072686698272
Hypolimnion,Allequash Lake,Northern,45,-0.133165357922801,0.685808202477879,-0.16986865914239,0.685808202477879,-2.00330464806109,0.685808202477879
Hypolimnion,Trout Bog,Northern,45,-0.000773604028478644,0.968787317537808,-0.059749150990774,0.000163560347107309,-0.480833713128972,0.000163560347107309
Hypolimnion,Crystal Bog,Northern,45,0.117590753938221,0.318377991640392,-0.65738626871058,7.04018057453006e-05,-5.75250399527964,0.000321455890717027
Hypolimnion,Lake Mendota,Southern,31,-0.306352982758802,0.336575648240757,-0.147393464475678,0.042473742084957,-1.42900693762595,0.056952093028253
Hypolimnion,Lake Monona,Southern,31,-0.368824696435368,0.325901700283428,-0.0476190476190476,0.37950820122895,-0.551405313108622,0.297656573069706
Hypolimnion,Fish Lake,Southern,30,0.093531052724246,0.872432652664989,-0.0554626946281152,0.684438728158489,-0.444080877949209,0.684438728158489
Hypolimnion,Lake Wingra,Southern,30,0.108491550332132,0.681553830004365,-0.762524231424368,0.0423606476703636,-6.45939242056763,0.0640913418968466
Fall Turnover,Trout Lake,Northern,34,0.256802678249063,0.464069664746135,-0.0512820512820516,0.794884900323693,-0.636925162266238,0.759353843439782
Fall Turnover,Big Muskellunge Lake,Northern,44,0.29176159700762,0.118587507145606,-0.12098270902979,0.260845622905675,-0.563402236325535,0.640658659411789
Fall Turnover,Crystal Lake,Northern,36,0.0325022315894128,0.818993936728717,-0.111263736263737,0.402942421612451,-0.7356464788727,0.470220460695278
Fall Turnover,Sparkling Lake,Northern,30,0.261360986529348,0.615773573854756,-0.136581394296376,0.615773573854756,-0.53093660941957,0.869476034147797
Fall Turnover,Allequash Lake,Northern,45,0.479492554960787,0.0435352681087637,-0.123601111775223,0.368518590050046,-0.737480145516791,0.412013912007608
Fall Turnover,Trout Bog,Northern,25,0.0672644552333605,0.33823736021778,-0.569043063374667,0.00080725889414158,-4.41463647282091,0.00080725889414158
Fall Turnover,Lake Mendota,Southern,23,0.261219967568581,0.282313425941145,-0.271379404173668,0.336575648240757,-1.59067173136195,0.476473633875211
Fall Turnover,Lake Monona,Southern,22,0.0607584465343084,0.890102609484951,-0.120854821548534,0.862317217871064,-1.54479920364579,0.890102609484951
